transliteration,yiddish
yashtsherke,יאַשטשערקע
yor,יאר
yedie,ידיעה
yugnt,יוגנט
yoykh,יויך
yuli,יולי
yom,יום
yontev,יום־טובֿ
yung,יונג
yunger-man,יונגער־מאַן
yuni,יוני
yunyon,יוניאָן
yupiter,יופּיטער
yikhus,יחוס
yid,ייִד
yidishizm,ייִדישיזם
yidishist,ייִדישיסט
yidishkeyt,ייִדישקייט
yidl,ייִדל
yidene,ייִדענע
yingl,ייִנגל
yingele,ייִנגעלע
yires-hakoved,ייִראת־הכּבֿוד
yam,ים
yam-shtern,ים־שטערן
yisurem,יסורים
yeger,יעגער
yevsektsye,יעווסעקציע
yente,יענטע
yeke,יעקע
yeytser-hatoyv,יצר־הטובֿ
yeytser-hore,יצר־הרע
yirgozn,ירגזון
yerushe,ירושה
yarid,יריד
yash,יש
yeshive,ישיבֿה
yeshive-bokher,ישיבֿה־בחור
yeshivish,ישיבֿיש
yeshive,ישיבה
yosem,יתום
yesoyme,יתומה
yoseml,יתומל
khalve,כאַלווע
khosn,כאָסן
khasene,כאַסענע
khaper,כאַפּער
koved,כּבֿוד
kehune,כּהונה
khvat,כוואַט
khvalye,כוואַליע
koyekh,כּוח
kezayes,כּזית
koyekh,כּח
kale,כּלה
klezayen,כּלי־זיין
khuligan,כוליגאַן
klal,כּלל
kislev,כּסלו
kas,כּעס
kashres,כּשרות
ksube,כּתובה
keser,כּתר
khinezer,כינעזער
khirurg,כירורג
khirurgye,כירורגיע
khmare,כמאַרע
khnyok,כניאָק
khelmer,כעלמער
khelemer,כעלעמער
khemye,כעמיע
khemiker,כעמיקער
khrabine,כראַבינע
khrabye,כראַביע
khronologye,כראָנאָלאָגיע
khrizanteme,כריזאַנטעמע
khreyn,כריין
khremzl,כרעמזל
khrestomatye,כרעסטאָמאַטיע
kashres,כשרות
keser,כתר
labn,לאַבן
logaritm,לאָגאַריטם
logik,לאָגיק
laureat,לאַורעאַט
latvish,לאַטוויש
latutnik,לאַטוטניק
latke,לאַטקע
lam,לאַם
lomp,לאָמפּ
land,לאַנד
landsman,לאַנדסמאַן
landkarte,לאַנדקאַרטע
lapserdak,לאַפּסערדאַק
lopete,לאָפּעטע
lafer,לאַפֿער
laks,לאַקס
loksh,לאָקש
lord,לאָרד
levone,לבֿנה
lehakhes,להכעיס
levyosn,לוויתן
luekh,לוח
loyb,לויב
loyz,לויז
loyer,לויער
levyosn,לויתן
lulev,לולבֿ
lung,לונג
luft,לופֿט
luftmentsh,לופֿטמענטש
luftfeld,לופֿטפֿעלד
lyalke,ליאַלקע
libe,ליבע
libele,ליבעלע
libshaft,ליבשאַפֿט
lign,ליגן
ligner,ליגנער
lid,ליד
liderbukh,לידערבוך
litvak,ליטוואַק
litviner,ליטווינער
litvish,ליטוויש
litium,ליטיום
liter,ליטער
literatur,ליטעראַטור
leyb,לייב
leybikhe,לייביכע
leyter,לייטער
leym,ליים
leyenung,לייענונג
leyener,לייענער
leyke,לייקע
likht,ליכט
likhtl,ליכטל
lilye,ליליע
limonad,לימאָנאַד
limed,לימוד
limene,לימענע
lingvist,לינגוויסט
lingvistik,לינגוויסטיק
lindz,לינדז
linkist,לינקיסט
lip,ליפּ
lik,ליק
lamdn,למדן
lebl,לעבל
lebn,לעבן
leber,לעבער
legende,לעגענדע
leder,לעדער
lezer,לעזער
letish,לעטיש
leml,לעמל
lend,לענד
lendn,לענדן
leninizm,לעניניזם
leninist,לעניניסט
lepl,לעפּל
lefl,לעפֿל
lek,לעק
leker,לעקער
lekerl,לעקערל
lektsye,לעקציע
lernung,לערנונג
lernyingl,לערנייִנגל
lerer,לערער
lererin,לערערין
lets,לץ
leytsekhe,לצעכע
loshn,לשון
loshn-koydesh,לשון־קודש
layb,לײַב
laybl,לײַבל
laybke,לײַבקע
layvnt,לײַוונט
layt,לײַט
mobil-telefon,מאָביל־טעלעפֿאָן
mobilke,מאָבילקע
mogn,מאָגן
magnet,מאַגנעט
madzhar,מאַדזשאַר
modernizm,מאָדערניזם
modernist,מאָדערניסט
maharadzha,מאַהאַראַדזשאַ
mototsikl,מאָטאָציקל
matematik,מאַטעמאַטיק
materye,מאַטעריע
may,מאַי
makh,מאַך
mokh,מאָך
makhorke,מאַכאָרקע
makht,מאַכט
makher,מאַכער
mol,מאָל
molekul,מאָלעקול
moler,מאָלער
moleray,מאָלערײַ
malpe,מאַלפּע
moltsayt,מאָלצײַט
maminke,מאַמינקע
mame,מאַמע
mame-loshn,מאַמע־לשון
moment,מאָמענט
mamenyu,מאַמעניו
mameshi,מאַמעשי
man,מאַן
monat,מאָנאַט
monolog,מאָנאָלאָג
monopol,מאָנאָפּאָל
mango,מאַנגאָ
mangan,מאַנגאַן
manganez,מאַנגאַנעז
mandoline,מאַנדאָלינע
mandl,מאַנדל
mandlakh,מאַנדלאַך
mandlboym,מאַנדלבוים
mandlbrot,מאַנדלבראָט
mandlekh,מאַנדלעך
montik,מאָנטיק
monizm,מאָניזם
monist,מאָניסט
mansbil,מאַנסביל
mansparshoyn,מאַנספּאַרשוין
mos,מאָס
masline,מאַסלינע
moskver,מאָסקווער
moral,מאָראַל
marants,מאַראַנץ
morgn,מאָרגן
morgnshtern,מאָרגנשטערן
morde,מאָרדע
markh,מאַרך
marmalad,מאַרמאַלאַד
marmolad,מאַרמאָלאַד
marmor,מאַרמאָר
marmelad,מאַרמעלאַד
marmer,מאַרמער
marts,מאַרץ
mark,מאַרק
marksizm,מאַרקסיזם
marksist,מאַרקסיסט
marsh,מאַרש
mashin,מאַשין
madim,מאדים
maykhl,מאכל
maymer,מאמר
meyvn,מבֿין
megile,מגילה
midber,מדבר
medine,מדינה
madreyge,מדרגה
medrash,מדרש
moyel,מוהל
moves,מוות
muzey,מוזיי
muzik,מוזיק
muziker,מוזיקער
moyekh,מוח
mut,מוט
muter,מוטער
muter-tseykhn,מוטער־צייכן
muter-shprakh,מוטער־שפּראַך
mutertrakht,מוטערטראַכט
muterland,מוטערלאַנד
mutersheyd,מוטערשייד
mutershprakh,מוטערשפּראַך
moyd,מויד
moyz,מויז
moyl,מויל
moykher-sforim,מוכר־ספֿרים
musulman,מוסולמאַן
muskl,מוסקל
moyre,מורא
murashke,מוראַשקע
mezuze,מזוזה
mazl,מזל
mizrekh,מזרח
mekhaber,מחבר
mekhutn,מחותּן
mekhutonishaft,מחותּנישאַפֿט
mekhuteneste,מחותּנתטע
mekháye,מחיה
makhloykes,מחלוקת
matbeye,מטבע
myate,מיאַטע
meyeskeyt,מיאוסקייט
midkeyt,מידקײט
mit,מיט
mite,מיטה
mitvokh,מיטוואָך
mitl,מיטל
mitlhoykhdaytsh,מיטלהויכדײַטש
mitlshul,מיטלשול
mitn,מיטן
meydl,מיידל
meydele,מיידעלע
meynung,מיינונג
milgroym,מילגרוים
mile,מילה
milyon,מיליאָן
milyoner,מיליאָנער
milyard,מיליאַרד
miligram,מיליגראַם
militant,מיליטאַנט
militer,מיליטער
mililiter,מיליליטער
milimeter,מילימעטער
milkh,מילך
milkhiger,מילכיגער
milkiker,מילכיקער
milekh,מילעך
min,מין
minaret,מינאַרעט
minderheyt,מינדערהייט
minut,מינוט
minister,מיניסטער
minsker,מינסקער
mineral-vaser,מינעראַל־וואַסער
mints,מינץ
mistitsizm,מיסטיציזם
myente,מיענטע
mikrofilm,מיקראָפֿילם
mirml,מירמל
mishne,מישנה
mishpokhe,מישפּאָכע
makabi,מכּבי
makabeyer,מכּבייער
make,מכּה
melokhe,מלאָכה
malekh,מלאך
malakhamoves,מלאך־המות
melokhe,מלאכה
melukhe,מלוכה
milkhome,מלחמה
meylekh,מלך
malke,מלכה
malke,מלכּה
melamed,מלמד
memshole,ממשלה
man,מן
menagan,מנגן
mineg,מנהג
mnoyre,מנורה
minkhe,מנחה
minyen,מנין
mesoyre,מסורה
mesire,מסירה
mesekhte,מסכתא
mesekhte,מסכתּא
misper,מספּר
mebl,מעבל
medikament,מעדיקאַמענט
metod,מעטאָד
metodist,מעטאָדיסט
metodik,מעטאָדיק
metode,מעטאָדע
metafizik,מעטאַפֿיזיק
meteorologye,מעטעאָראָלאָגיע
meter,מעטער
metro,מעטראָ
metshet,מעטשעט
mekhaniker,מעכאַניקער
mel,מעל
melon,מעלאָן
mayle,מעלה
memuarn,מעמואַרן
mentsh,מענטש
meser,מעסער
mekler,מעקלער
mer,מער
mayrev,מערב
mayrev,מערבֿ
merheyt,מערהייט
marokhe,מערכה
mertsol,מערצאָל
mesh,מעש
mayse/manse,מעשׂה
mayse/manse,מעשה
mafter,מפֿטיר
matse,מצה
metsiye,מציאה
mikve,מקווה
mokem,מקום
maskil,משׂכּיל
meshugener,משוגענער
meshugas,משוגעת
moshiyekh,משיח
moshl,משל
mishpokhe,משפּחה
mishpokhe,משפחה
mashke,משקה
meys,מת
matone,מתּנה
misnaged,מתנגד
may,מײַ
mayl,מײַל
mayster,מײַסטער
nagan,נאַגאַן
nogl,נאָגל
nodl,נאָדל
november,נאָוועמבער
noz,נאָז
nozlokh,נאָזלאָך
natur,נאַטור
nakht,נאַכט
nakhthemd,נאַכטהעמד
nokhloyfer,נאָכלויפֿער
nomen,נאָמען
nos,נאָס
natsi,נאַצי
natsyonal-sotsyalizm,נאַציאָנאַל־סאָציאַליזם
natsyonalizm,נאַציאָנאַליזם
natsizm,נאַציזם
nakn,נאַקן
nar,נאַר
narishkeyt,נאַרישקייט
nevue,נבֿואה
novi,נבֿיא
neviye,נבֿיאה
ngid,נגיד
nadn,נדן
noyef,נואף
nudnik,נודניק
nul,נול
numer,נומער
nus,נוס
nusekh,נוסח
nuts,נוץ
nukleon,נוקלעאָן
nakhes,נחת
nief,ניאוף
nign,ניגון
nigndl,ניגונדל
nihilizm,ניהיליזם
nihilist,ניהיליסט
nivo,ניוואָ
nitl,ניטל
nitlboym,ניטלבוים
neytron,נייטראָן
neymashin,ניימאַשין
nis,ניס
nisl,ניסל
nisn,ניסן
niseray,ניסערײַ
niked,ניקוד
nikl,ניקל
nir,ניר
nes,נס
neon,נעאָן
nebish,נעביש
neger,נעגער
negerte,נעגערטע
nevrologye,נעווראָלאָגיע
nest,נעסט
neptun,נעפּטון
neptunyum,נעפּטוניום
nepl,נעפּל
nets,נעץ
nerv,נערוו
nekome,נקמה
neshome,נשמה
nayntl,נײַנטל
nayntsikstl,נײַנציקסטל
nayntsntl,נײַנצנטל
nayes,נײַעס
sod,סאָד
sode,סאָדע
sovyet,סאָוויעט
sove,סאָווע
sovetizatsye,סאָוועטיזאַציע
sazhlke,סאַזשלקע
saturn,סאַטורן
salat,סאַלאַט
soldat,סאָלדאַט
samoderzhavye,סאַמאָדערזשאַוויע
sosne,סאָסנע
sofe,סאָפֿע
sotsyolog,סאָציאָלאָג
sotsyologye,סאָציאָלאָגיע
sotsyalizm,סאָציאַליזם
sotsyalist,סאָציאַליסט
saksofon,סאַקסאָפֿאָן
saroke,סאַראָקע
soroke,סאָראָקע
svive,סבֿיבֿה
seyder,סדר
subotnik,סובאָטניק
substantiv,סובסטאַנטיוו
sod,סוד
sultan,סולטאַן
sof,סוף
soyfer,סופֿר
skhoyre,סחורה
stav,סטאַוו
statistik,סטאַטיסטיק
stolyar,סטאָליאַר
stalinizm,סטאַליניזם
stalinist,סטאַליניסט
stolyer,סטאָליער
stashke,סטאַשקע
stashkeshmir,סטאַשקעשמיר
studyo,סטודיאָ
studye,סטודיע
student,סטודענט
studentin,סטודענטין
studentke,סטודענטקע
struzh,סטרוזש
strune,סטרונע
sibirer,סיבירער
sider,סידור
sivn,סיוון
seym,סיים
seymist,סיימיסט
silitsyum,סיליציום
silikon,סיליקאָן
simbol,סימבאָל
simen,סימן
sinagoge,סינאַגאָגע
sirop,סיראָפּ
sirup,סירופּ
slovak,סלאָוואַק
slovakish,סלאָוואַקיש
sam,סם
smoking,סמאָקינג
smaragd,סמאַראַגד
smikhe,סמיכה
smetene,סמעטענע
snop,סנאָפּ
sude,סעודה
selerye,סעלעריע
senat,סענאַט
senator,סענאַטאָר
senyor,סעניאָר
senyora,סעניאָראַ
september,סעפּטעמבער
sekunde,סעקונדע
sekte,סעקטע
seks,סעקס
serbish,סערביש
servetke,סערוועטקע
serye,סעריע
spodik,ספּאָדיק
spodnitse,ספּאָדניצע
spodek,ספּאָדעק
sparzhe,ספּאַרזשע
spudnitse,ספּודניצע
spiritualizm,ספּיריטואַליזם
spektakl,ספּעקטאַקל
seyfer,ספֿר
seyfer-toyre,ספֿר־תּורה
skorpyon,סקאָרפּיאָן
stire,סתּירה
aveyre,עבֿרה
ivre,עבֿרי
eyd,עד
oylem,עולם
oymer,עומר
of,עוף
eyfele,עופֿעלע
etik,עטיק
etnografye,עטנאָגראַפֿיע
iber-yor,עיבור־יאָר
ile,עילוי
eyn-hore,עין־הרע
eltern,עלטערן
elterns,עלטערנס
alie,עליה
elnboygn,עלנבויגן
elegye,עלעגיע
elefant,עלעפֿאַנט
elektron,עלעקטראָן
elektrye,עלעקטריע
elektritsitet,עלעקטריציטעט
elektriker,עלעקטריקער
elektre,עלעקטרע
elf,עלף
elftl,עלפֿטל
amorets,עם הארץ
amorets,עם־האָרץ
emigrant,עמיגראַנט
emigratsye,עמיגראַציע
amkho,עמך
emer,עמער
english,ענגליש
entfer,ענטפֿער
inyen,ענין
enlekhkeyt,ענלעכקייט
energye,ענערגיע
entsiklopedye,ענציקלאָפּעדיע
enkavedenik,ענקאַוועדעניק
estraykher,עסטרײַכער
esey,עסיי
esik,עסיק
esn,עסן
esperanto,עספּעראַנטאָ
epokhe,עפּאָכע
epidemyologye,עפּידעמיאָלאָגיע
epidemye,עפּידעמיע
epilog,עפּילאָג
epistemologye,עפּיסטעמאָלאָגיע
epl,עפּל
eplboym,עפּלבוים
eplzaft,עפּלזאַפֿט
eytse,עצה
ekonomye,עקאָנאָמיע
ekonomik,עקאָנאָמיק
ekdish,עקדיש
ekvator,עקוואַטאָר
ekzemplar,עקזעמפּלאַר
ekzekutsye,עקזעקוציע
akore,עקרה
eroport,עראָפּאָרט
eroplan,עראָפּלאַן
erd,ערד
erdarbeter,ערדאַרבעטער
fabrik,פֿאַבריק
fodem,פֿאָדעם
fazan,פֿאַזאַן
foter,פֿאָטער
foterland,פֿאָטערלאַנד
fokh,פֿאָך
folk,פֿאָלק
folklor,פֿאָלקלאָר
folksbiblyotek,פֿאָלקסביבליאָטעק
folksvertl,פֿאָלקסווערטל
folksrepublik,פֿאָלקסרעפּובליק
folksshul,פֿאָלקסשול
familye,פֿאַמיליע
fon,פֿאָן
fonologye,פֿאָנאָלאָגיע
fonetik,פֿאָנעטיק
fonem,פֿאָנעם
fasolye,פֿאַסאָליע
fosil,פֿאָסיל
fosfat,פֿאָספֿאַט
fakt,פֿאַקט
faktor,פֿאַקטאָר
farakhtung,פֿאַראַכטונג
fareyn,פֿאַראיין
fareynikung,פֿאַראייניקונג
farb,פֿאַרב
farband,פֿאַרבאַנד
farbeserung,פֿאַרבעסערונג
farbrekh,פֿאַרברעך
farbrekher,פֿאַרברעכער
farbrengen,פֿאַרברענגען
fargang,פֿאַרגאַנג
fargangenheyt,פֿאַרגאַנגענהייט
fargevaldigung,פֿאַרגעוואַלדיגונג
fargenign,פֿאַרגעניגן
fartog,פֿאַרטאָג
farlag,פֿאַרלאַג
farmer,פֿאַרמער
forem,פֿאָרעם
farfl,פֿאַרפֿל
forts,פֿאָרץ
farkoyf,פֿאַרקויף
farkoyfer,פֿאַרקויפֿער
farkoyferin,פֿאַרקויפֿערין
forshung,פֿאָרשונג
forshtelung,פֿאָרשטעלונג
fashizm,פֿאַשיזם
fashist,פֿאַשיסט
pakhve,פאכווע
far,פאר
pogrom,פּאָגראָם
podloge,פּאָדלאָגע
podkove,פּאָדקאָווע
podkeve,פּאָדקעווע
peye,פּאַה
povidle,פּאָווידלע
pave,פּאַווע
potasyum,פּאָטאַסיום
patlezhan,פּאַטלעזשאַן
potkove,פּאָטקאָווע
potkeve,פּאָטקעווע
patryot,פּאַטריאָט
patryotizm,פּאַטריאָטיזם
payats,פּאַיאַץ
poyezd,פּאָיעזד
pakhve,פּאַכווע
palats,פּאַלאַץ
polyatshke,פּאָליאַטשקע
polyaner,פּאָליאַנער
polyak,פּאָליאַק
politik,פּאָליטיק
politsyant,פּאָליציאַנט
politsey,פּאָליציי
politsist,פּאָליציסט
politse,פּאָליצע
paleontolog,פּאַלעאָנטאָלאָג
paleontologye,פּאַלעאָנטאָלאָגיע
palestiner,פּאַלעסטינער
pomidor,פּאָמידאָר
pomerants,פּאָמעראַנץ
pompernikl,פּאָמפּערניקל
pan,פּאַן
pani,פּאַני
post,פּאָסט
pastushke,פּאַסטושקע
pastekh,פּאַסטעך
pastrami,פּאַסטראַמי
pastrame,פּאַסטראַמע
paskhe,פּאַסכע
paskudnyak,פּאַסקודניאַק
poezye,פּאָעזיע
poet,פּאָעט
poem,פּאָעם
poeme,פּאָעמע
popugay,פּאָפּוגײַ
papiros,פּאַפּיראָס
papiresl,פּאַפּירעסל
paprike,פּאַפּריקע
pots,פּאָץ
pokn,פּאָקן
por,פּאָר
paradoks,פּאַראַדאָקס
parodist,פּאַראָדיסט
parodye,פּאַראָדיע
parapsikhologye,פּאַראַפּסיכאָלאָגיע
partizan,פּאַרטיזאַן
partey,פּאַרטיי
parizer,פּאַריזער
porl,פּאָרל
pornografye,פּאָרנאָגראַפֿיע
pare,פּאַרע
porfolk,פּאָרפֿאָלק
park,פּאַרק
parshoyn,פּאַרשוין
pasha,פּאַשאַ
peye,פּאה
pud,פּוד
puter,פּוטער
poylish,פּויליש
poyer,פּויער
poyps,פּויפּס
poypst,פּויפּסט
poyk,פּויק
poykshtekl,פּויקשטעקל
punkt,פּונקט
purimshpil,פּורימשפּיל
pushke,פּושקע
futer,פֿוטער
pyavke,פּיאַווקע
pyate,פּיאַטע
pyon,פּיאָן
pyane,פּיאַנע
foygl,פֿויגל
pidkove,פּידקאָווע
pizhames,פּיזשאַמעס
pilot,פּילאָט
pingvin,פּינגווין
foyst,פֿויסט
pistoyl,פּיסטויל
pisk,פּיסק
pyese,פּיעסע
pipernoter,פּיפּערנאָטער
pitse,פּיצע
pikholts,פּיקהאָלץ
pirog,פּיראָג
peyresh,פּירוש
pirushke,פּירושקע
plazhe,פּלאַזשע
platinum,פּלאַטינום
planet,פּלאַנעט
planete,פּלאַנעטע
plats,פּלאַץ
pluto,פּלוטאָ
plutonyum,פּלוטאָניום
plyush,פּליוש
polet,פּליט
pleyte,פּליטה
pleytse,פּלייצע
plimenitse,פּלימעניצע
plimenik,פּלימעניק
pletsl,פּלעצל
plishti,פּלשתּי
fungus,פֿונגוס
funt,פֿונט
ponem,פּנים
peneml,פּנימל
funk,פֿונק
fus,פֿוס
fusbal,פֿוסבאַל
fusbol,פֿוסבאָל
fusbalist,פֿוסבאַליסט
fusbolist,פֿוסבאָליסט
posek,פּסוק
psikhoanaliz,פּסיכאָאַנאַליז
psikhoanalitiker,פּסיכאָאַנאַליטיקער
psikholog,פּסיכאָלאָג
psikhologye,פּסיכאָלאָגיע
psikhe,פּסיכע
pedler,פּעדלער
pelikan,פּעליקאַן
pelts,פּעלץ
pempik,פּעמפּיק
penis,פּעניס
peso,פּעסאָ
peklfleysh,פּעקלפֿלייש
perl,פּערל
fuftsikstl,פֿופֿציקסטל
fuftsntl,פֿופֿצנטל
fuks,פֿוקס
problem,פּראָבלעם
probe,פּראָבע
proze,פּראָזע
proton,פּראָטאָן
proyekt,פּראָיעקט
prolog,פּראָלאָג
pronom,פּראָנאָם
profesor,פּראָפֿעסאָר
profesye,פּראָפֿעסיע
prof',פּראָפֿ׳
protsent,פּראָצענט
praktik,פּראַקטיק
prusak,פּרוסאַק
prat,פּרט
priz,פּריז
priziv,פּריזיוו
prizivnik,פּריזיווניק
prints,פּרינץ
printsip,פּרינציפּ
printsesin,פּרינצעסין
pripetshik,פּריפּעטשיק
prezident,פּרעזידענט
premye,פּרעמיע
premyer,פּרעמיער
prepozitsye,פּרעפּאָזיציע
parshe,פּרשה
prayz,פּרײַז
pasekh,פּתח
payn,פּײַן
paykl,פּײַקל
paykler,פּײַקלער
fi,פֿי
fyalke,פֿיאַלקע
fidl,פֿידל
fidler,פֿידלער
fizik,פֿיזיק
fiziker,פֿיזיקער
feygele,פֿייגעלע
fikh,פֿיך
filolog,פֿילאָלאָג
filologye,פֿילאָלאָגיע
filosofye,פֿילאָסאָפֿיע
film,פֿילם
finants,פֿינאַנץ
finger,פינגער
finger,פֿינגער
fingerl,פֿינגערל
finish,פֿיניש
finsternish,פֿינסטערניש
finftl,פֿינפֿטל
fintsternish,פֿינצטערניש
fistashke,פֿיסטאַשקע
fisl,פֿיסל
firzogerin,פֿירזאָגערין
firme,פֿירמע
firer,פֿירער
fish,פֿיש
fisher,פֿישער
flaterl,פֿלאַטערל
flam,פֿלאַם
flash,פֿלאַש
floy,פֿלוי
floym,פֿלוים
fli,פֿלי
flig,פֿליג
fligl,פֿליגל
fleyt,פֿלייט
fleytist,פֿלייטיסט
fleysh,פֿלייש
flifeld,פֿליפֿעלד
fledermoyz,פֿלעדערמויז
februar,פֿעברואַר
feder,פֿעדער
federatsye,פֿעדעראַציע
feld,פֿעלד
felyeton,פֿעליעטאָן
felyetonist,פֿעליעטאָניסט
feminizm,פֿעמיניזם
feminist,פֿעמיניסט
fentster,פֿענצטער
fefer,פֿעפֿער
fets,פֿעץ
ferd,פֿערד
ferdbin,פֿערדבין
ferdl,פֿערדל
fertl,פֿערטל
feris-rod,פֿעריס־ראָד
ferishke,פֿערישקע
fertsikstl,פֿערציקסטל
fertsntl,פֿערצנטל
fershke,פֿערשקע
fragment,פֿראַגמענט
frage,פֿראַגע
frantsoyz,פֿראַנצויז
frantseyzish,פֿראַנצייזיש
froy,פֿרוי
frukht,פֿרוכט
frumak,פֿרומאַק
frumkayt,פֿרומקײַט
freyd,פֿרייד
friling,פֿרילינג
frimorgn,פֿרימאָרגן
frishtik,פֿרישטיק
fregtseykhn,פֿרעגצייכן
freser,פֿרעסער
fraytik,פֿרײַטיק
fraynd,פֿרײַנד
frayndin,פֿרײַנדין
frayndshaft,פֿרײַנדשאַפֿט
fayl,פֿײַל
fayer,פֿײַער
fayerl,פֿײַערל
fayertsung,פֿײַערצונג
fayfl,פֿײַפֿל
f',פֿ׳
tsol,צאָל
tsam,צאַם
tson,צאָן
tsondokter,צאָנדאָקטער
tsop,צאָפּ
tsapnberdl,צאַפּנבערדל
tsatske,צאַצקע
tsar,צאַר
tsarine,צאַרינע
tsaritse,צאַריצע
tsadek,צדיק
tsedoke,צדקה
tsadeykes,צדקת
tsug,צוג
tsuherer,צוהערער
tsvantsikstl,צוואַנציקסטל
tsvorekh,צוואָרעך
tsvit,צוויט
tsviling,צווילינג
tsvinter,צווינטער
tsvelftl,צוועלפֿטל
tsvayg,צווײַג
tsvaygmeser,צווײַגמעסער
tsung,צונג
tsukunft,צוקונפֿט
tsuker,צוקער
tsure,צורה
tsibele,ציבעלע
tsig,ציג
tsigar,ציגאַר
tsigl,ציגל
tsigele,ציגעלע
tsigayner,ציגײַנער
tsienizm,ציוניזם
tsienist,ציוניסט
tsiter,ציטער
tsitron,ציטראָן
tsitrin,ציטרין
tseykhn,צייכן
tseynshtekher,ציינשטעכער
tsil,ציל
tsilinder,צילינדער
tsimukim-vayn,צימוקים־ווײַן
tsimes,צימעס
tsimer,צימער
tsimering,צימערינג
tsimring,צימרינג
tsink,צינק
tsienist,ציעניסט
tsienist,ציִעניסט
tsits,ציץ
tsitsis,ציצית
tsitsl,ציצל
tsitse,ציצע
tsir,ציר
tsirung,צירונג
tsnies,צניעות
tsederboym,צעדערבוים
tsendlik,צענדליק
tsenzus,צענזוס
tsentimeter,צענטימעטער
tsentl,צענטל
tsenter,צענטער
tsenerling,צענערלינג
tsar,צער
tserkve,צערקווע
tsofn,צפֿון
tsore,צרה
tsayt,צײַט
tsaytung,צײַטונג
tsaytforme,צײַטפֿאָרמע
tsaytshrift,צײַטשריפֿט
kobalt,קאָבאַלט
kagebeshnik,קאַגעבעשניק
kovadle,קאָוואַדלע
koval,קאָוואַל
kavyar,קאַוויאַר
kave,קאַווע
kovel,קאָוועל
kavenik,קאַוועניק
kavene,קאַווענע
kozak,קאָזאַק
katalog,קאַטאַלאָג
kategorye,קאַטעגאָריע
katsher,קאַטשער
katshke,קאַטשקע
kokhbukh,קאָכבוך
kalosh,קאַלאָש
kolvirtnik,קאָלווירטניק
kalyum,קאַליום
kalifyor,קאַליפֿיאָר
kalike,קאַליקע
kolir,קאָליר
kolkhoz,קאָלכאָז
kolkhoznik,קאָלכאָזניק
kale,קאַלע
koleg,קאָלעג
kolegin,קאָלעגין
kolege,קאָלעגע
kalendar,קאַלענדאַר
kaltsyum,קאַלציום
kalkulus,קאַלקולוס
kalke,קאַלקע
kam,קאַם
kamod,קאַמאָד
komod,קאָמאָד
komode,קאָמאָדע
komar,קאָמאַר
komunizm,קאָמוניזם
komunist,קאָמוניסט
komunistke,קאָמוניסטקע
komitet,קאָמיטעט
kamish,קאַמיש
kome,קאָמע
komedye,קאָמעדיע
kamf,קאַמף
kompozitor,קאָמפּאָזיטאָר
kampanye,קאַמפּאַניע
kompyuter,קאָמפּיוטער
kon,קאָן
kanarik,קאַנאַריק
kongres,קאָנגרעס
konduktor,קאָנדוקטאָר
konverb,קאָנווערב
kantonist,קאַנטאָניסט
konte,קאָנטע
kontrolyor,קאָנטראָליאָר
kontrakt,קאָנטראַקט
konyugatsye,קאָניוגאַציע
konyunktiv,קאָניונקטיוו
konstitutsye,קאָנסטיטוציע
konferents,קאָנפֿערענץ
kontsert,קאָנצערט
kastn,קאַסטן
kaste,קאַסטע
kosmonoyt,קאָסמאָנויט
kosmos,קאָסמאָס
kop,קאָפּ
kapital,קאַפּיטאַל
kapitalizm,קאַפּיטאַליזם
kapitalist,קאַפּיטאַליסט
kapitl,קאַפּיטל
kapelyush,קאַפּעליוש
kopeke,קאָפּעקע
kaper,קאַפּער
kafe,קאַפֿע
kats,קאַץ
kakao,קאַקאַאָ
kaker,קאַקער
kort,קאָרט
karton,קאַרטאָן
kartofl,קאַרטאָפֿל
kartoflye,קאַרטאָפֿליע
karte,קאַרטע
karikatur,קאַריקאַטור
korn,קאָרן
kornbroyt,קאָרנברויט
kore,קאָרע
karp,קאַרפּ
karsh,קאַרש
karshnboym,קאַרשנבוים
koshtshol,קאָשטשאָל
koshik,קאָשיק
koshikl,קאָשיקל
koshmar,קאָשמאַר
kashe,קאַשע
kop,קאפ
kapele,קאפעלע
keyver,קבֿר
kvores,קבֿרות
kabole,קבלה
kodesh,קדוש
kdushe,קדושה
kadesh,קדיש
kehile,קהילה
ku,קו
kugl,קוגל
kvote,קוואָטע
kvater,קוואַטער
kvaterin,קוואַטערין
kval,קוואַל
kvit,קוויט
kvitung,קוויטונג
kvitl,קוויטל
kveyt,קווייט
kvetsher,קוועטשער
kutshme,קוטשמע
koyl,קויל
koylnshtof,קוילנשטאָף
koymen,קוימען
koyfman,קויפֿמאַן
koysh,קויש
koyshbol,קוישבאָל
kukhn,קוכן
kol,קול
kultur,קולטור
kunst,קונסט
kunts,קונץ
kuntsnmakher,קונצנמאַכער
kust,קוסט
kusele,קוסעלע
kuper,קופּער
kuropate,קוראָפּאַטע
kurve,קורווע
kurs,קורס
kush,קוש
kibuts,קיבוץ
kidesh,קידוש
kiyem,קיום
kitl,קיטל
keyt,קייט
keyser,קייסער
keyshl,קיישל
kikh,קיך
kikhl,קיכל
kilo,קילאָ
kilometer,קילאָמעטער
kimpet,קימפּעט
kimpet-palate,קימפּעט־פּאַלאַטע
kimpetorin,קימפּעטאָרין
kimpetkind,קימפּעטקינד
kin,קין
kino,קינאָ
kinbeyn,קינביין
kind,קינד
